algorithm_version,graph_size,p,q,mean_time_ms,std_dev_ms,min_time_ms,max_time_ms,mean_bicliques,std_dev_bicliques,mean_total_size,std_dev_total_size,mean_avg_biclique_size,std_dev_avg_biclique_size
with_optimization,5000,1250,3750,123.613459,20.236972,112.886369,183.668972,9138.300000,79.175817,69068.500000,611.550529,7.558231,0.040603
with_optimization,5000,2500,2500,133.370590,2.865650,130.263085,140.695313,11514.700000,68.994275,76387.600000,742.541339,6.633823,0.036125
with_optimization,5000,3750,1250,119.694885,2.966657,116.252706,126.226282,8558.600000,109.690656,68916.300000,666.689140,8.052652,0.036648
with_optimization,10000,2500,7500,263.195408,4.597862,255.678306,270.213099,20096.200000,139.945561,165015.400000,1060.097184,8.211369,0.032856
with_optimization,10000,5000,5000,299.276897,4.548513,293.035280,307.343880,25309.300000,77.586146,181220.000000,689.399014,7.160221,0.018856
with_optimization,10000,7500,2500,279.622248,32.283162,260.249241,375.717377,18976.300000,115.297918,165549.400000,976.481152,8.724056,0.025804
with_optimization,20000,5000,15000,591.514844,28.487513,564.500844,669.535773,43870.300000,248.647160,388937.800000,1445.378760,8.865760,0.029752
with_optimization,20000,10000,10000,665.602429,6.269301,657.631105,675.182625,55215.600000,177.552922,424664.300000,1808.052104,7.691031,0.024960
with_optimization,20000,15000,5000,610.692349,27.947432,584.765614,687.374138,41262.800000,135.676674,389394.400000,1128.819047,9.436960,0.015523
with_optimization,40000,10000,30000,1329.113677,44.250982,1281.019371,1410.390564,95054.300000,253.222452,906041.300000,2048.020461,9.531849,0.014495
with_optimization,40000,20000,20000,1569.536800,76.733247,1494.746179,1735.644440,119457.900000,208.180427,982760.600000,1506.558077,8.226857,0.017105
with_optimization,40000,30000,10000,1408.149981,108.385372,1301.294911,1675.286834,89796.000000,241.382684,908741.100000,2016.304067,10.120088,0.017013
with_optimization,80000,20000,60000,3142.890346,163.242133,2985.210105,3572.223163,204976.100000,451.952752,2087874.200000,2972.315488,10.185964,0.014094
with_optimization,80000,40000,40000,3456.734264,91.752626,3318.263819,3604.754809,257229.500000,299.748311,2251090.100000,3270.170682,8.751294,0.010475
with_optimization,80000,60000,20000,3449.172279,617.633689,3029.092086,5142.279572,193693.700000,194.113395,2094714.400000,2533.353872,10.814581,0.016046
with_optimization,160000,40000,120000,6651.585350,192.255038,6396.224612,7048.836971,439424.800000,520.053228,4767365.000000,3656.408347,10.849111,0.009021
with_optimization,160000,80000,80000,7665.129991,314.948277,7340.796440,8465.339366,551108.900000,346.041168,5120621.800000,3584.934276,9.291492,0.008946
with_optimization,160000,120000,40000,6791.968025,114.026029,6587.471779,7017.997064,415064.100000,496.774486,4777892.400000,5392.963271,11.511219,0.007784
without_optimization,5000,1250,3750,124.481781,7.773785,114.806964,136.224912,10573.800000,113.021945,70647.500000,657.147967,6.681523,0.028199
without_optimization,5000,2500,2500,141.155945,12.080602,129.198180,169.214179,12709.100000,86.394965,77742.800000,765.433054,6.117010,0.029021
without_optimization,5000,3750,1250,114.964018,2.616931,110.340194,119.197984,9426.200000,108.065536,69861.100000,665.160199,7.411574,0.027202
without_optimization,10000,2500,7500,257.356422,3.527763,252.246002,263.136375,23255.500000,171.055108,168492.400000,1121.376404,7.245329,0.018276
without_optimization,10000,5000,5000,313.784857,36.534168,294.277781,414.928432,27897.300000,77.976984,184164.600000,681.470058,6.601531,0.019681
without_optimization,10000,7500,2500,253.078657,1.889628,251.087943,256.705500,20858.300000,156.922943,167603.400000,1022.666045,8.035446,0.023397
without_optimization,20000,5000,15000,567.686685,10.477641,559.581308,595.771661,50652.200000,256.266970,396432.500000,1435.397593,7.826652,0.025927
without_optimization,20000,10000,10000,660.834300,26.378647,646.542508,739.011695,60835.800000,215.106857,431060.600000,1882.594231,7.085644,0.019395
without_optimization,20000,15000,5000,556.369074,5.044320,549.202412,564.689774,45303.700000,146.606992,393812.100000,1139.920563,8.692733,0.013330
without_optimization,40000,10000,30000,1295.492277,24.282727,1275.886077,1365.832400,109606.900000,326.527013,922120.400000,2154.226831,8.412998,0.009925
without_optimization,40000,20000,20000,1444.715472,31.625980,1423.031279,1531.260478,131533.700000,155.091618,996539.400000,1554.975511,7.576309,0.011142
without_optimization,40000,30000,10000,1673.619400,218.556004,1446.342365,2099.732175,98526.300000,240.267788,918290.900000,2010.935924,9.320279,0.015006
without_optimization,80000,20000,60000,3126.874582,302.509925,2831.782906,3654.963718,236206.500000,570.649148,2122403.900000,3159.282180,8.985398,0.011156
without_optimization,80000,40000,40000,3859.720501,387.298844,3490.672903,4777.359067,283092.200000,367.952932,2280570.700000,3366.833113,8.055932,0.009239
without_optimization,80000,60000,20000,3289.810762,500.965310,2807.340528,4085.118163,212343.300000,225.221247,2115075.800000,2480.460997,9.960656,0.016606
without_optimization,160000,40000,120000,6515.626589,136.134795,6313.062915,6702.055848,505573.300000,717.527707,4840628.600000,3843.806686,9.574545,0.009543
without_optimization,160000,80000,80000,7942.847608,580.786725,7121.807301,8895.341657,606537.300000,386.891729,5183915.400000,3706.895580,8.546741,0.007123
without_optimization,160000,120000,40000,6490.240359,124.643365,6308.229651,6786.369696,454709.200000,511.659223,4821146.300000,5472.059796,10.602703,0.004874
