algorithm_version,graph_size,p,q,dim,seed,execution_time_ms,num_bicliques,total_decomposition_size,avg_biclique_size
without_optimization,5000,2500,2500,2,307818,134.517565,12787,78906,6.17
without_optimization,5000,2500,2500,2,499064,140.540545,12686,77669,6.12
without_optimization,5000,2500,2500,2,126575,129.198180,12721,77879,6.12
without_optimization,5000,2500,2500,2,267074,131.836438,12769,78366,6.14
without_optimization,5000,2500,2500,2,553280,135.667787,12554,76184,6.07
without_optimization,5000,2500,2500,2,551124,130.694451,12608,77302,6.13
without_optimization,5000,2500,2500,2,549008,143.528268,12849,78663,6.12
without_optimization,5000,2500,2500,2,808329,169.214179,12789,77854,6.09
without_optimization,5000,2500,2500,2,939670,156.954921,12662,76969,6.08
without_optimization,5000,2500,2500,2,885529,139.407116,12666,77636,6.13
without_optimization,5000,1250,3750,2,387922,114.806964,10786,71860,6.66
without_optimization,5000,1250,3750,2,826866,136.224912,10590,71028,6.71
without_optimization,5000,1250,3750,2,736078,121.908204,10529,70596,6.70
without_optimization,5000,1250,3750,2,508195,115.124583,10530,69986,6.65
without_optimization,5000,1250,3750,2,929203,125.142081,10424,70246,6.74
without_optimization,5000,1250,3750,2,150653,135.443384,10517,70221,6.68
without_optimization,5000,1250,3750,2,873444,133.441067,10547,70569,6.69
without_optimization,5000,1250,3750,2,846182,125.945736,10558,70565,6.68
without_optimization,5000,1250,3750,2,47223,117.547831,10477,69727,6.66
without_optimization,5000,1250,3750,2,771729,119.233044,10780,71677,6.65
without_optimization,5000,3750,1250,2,677031,114.919621,9364,69390,7.41
without_optimization,5000,3750,1250,2,866433,113.358436,9420,69701,7.40
without_optimization,5000,3750,1250,2,875738,114.460561,9556,70587,7.39
without_optimization,5000,3750,1250,2,583561,115.315934,9663,71265,7.38
without_optimization,5000,3750,1250,2,886880,112.096607,9404,69528,7.39
without_optimization,5000,3750,1250,2,658925,110.340194,9342,69156,7.40
without_optimization,5000,3750,1250,2,989969,114.525446,9270,69269,7.47
without_optimization,5000,3750,1250,2,511738,116.551872,9432,69964,7.42
without_optimization,5000,3750,1250,2,871476,119.197984,9346,69280,7.41
without_optimization,5000,3750,1250,2,190943,118.873524,9465,70471,7.45
without_optimization,10000,5000,5000,2,582076,303.325712,27937,184869,6.62
without_optimization,10000,5000,5000,2,968243,297.740940,27865,184562,6.62
without_optimization,10000,5000,5000,2,291573,296.832103,27875,184220,6.61
without_optimization,10000,5000,5000,2,855338,343.929573,27982,185351,6.62
without_optimization,10000,5000,5000,2,212275,295.987664,27974,183529,6.56
without_optimization,10000,5000,5000,2,819844,298.885509,27757,183285,6.60
without_optimization,10000,5000,5000,2,828542,295.438163,27895,183934,6.59
without_optimization,10000,5000,5000,2,177496,294.277781,27778,183099,6.59
without_optimization,10000,5000,5000,2,951142,414.928432,27910,184626,6.62
without_optimization,10000,5000,5000,2,633128,296.502690,28000,184171,6.58
without_optimization,10000,2500,7500,2,694058,263.136375,23332,168955,7.24
without_optimization,10000,2500,7500,2,365204,255.686691,23500,169941,7.23
without_optimization,10000,2500,7500,2,985209,254.720584,23334,169427,7.26
without_optimization,10000,2500,7500,2,334143,256.522953,23356,168882,7.23
without_optimization,10000,2500,7500,2,845444,252.246002,23288,168882,7.25
without_optimization,10000,2500,7500,2,206939,252.578643,22863,165670,7.25
without_optimization,10000,2500,7500,2,667474,261.210990,23403,169018,7.22
without_optimization,10000,2500,7500,2,565209,261.012862,23097,168206,7.28
without_optimization,10000,2500,7500,2,390620,259.208118,23205,167641,7.22
without_optimization,10000,2500,7500,2,665022,257.241004,23177,168302,7.26
without_optimization,10000,7500,2500,2,78510,255.169291,20934,168153,8.03
without_optimization,10000,7500,2500,2,269273,252.185355,20754,166511,8.02
without_optimization,10000,7500,2500,2,139602,251.160256,20919,168447,8.05
without_optimization,10000,7500,2500,2,823124,252.756375,20813,166976,8.02
without_optimization,10000,7500,2500,2,382712,254.694513,20974,167581,7.99
without_optimization,10000,7500,2500,2,488240,254.238152,21202,169966,8.02
without_optimization,10000,7500,2500,2,226295,251.325430,20775,167110,8.04
without_optimization,10000,7500,2500,2,649941,251.463751,20769,167475,8.06
without_optimization,10000,7500,2500,2,782631,251.087943,20580,166184,8.08
without_optimization,10000,7500,2500,2,203155,256.705500,20863,167631,8.03
without_optimization,20000,10000,10000,2,734903,655.622699,60767,430641,7.09
without_optimization,20000,10000,10000,2,820895,657.670331,61298,436039,7.11
without_optimization,20000,10000,10000,2,299076,654.489603,60936,430794,7.07
without_optimization,20000,10000,10000,2,217818,646.958690,60661,430218,7.09
without_optimization,20000,10000,10000,2,373994,657.139506,60600,428593,7.07
without_optimization,20000,10000,10000,2,125068,654.466457,61118,430669,7.05
without_optimization,20000,10000,10000,2,966197,648.163692,60704,430822,7.10
without_optimization,20000,10000,10000,2,185275,646.542508,60892,432190,7.10
without_optimization,20000,10000,10000,2,546935,739.011695,60746,429603,7.07
without_optimization,20000,10000,10000,2,251813,648.277822,60636,431037,7.11
without_optimization,20000,5000,15000,2,798723,564.837686,50651,397194,7.84
without_optimization,20000,5000,15000,2,475126,566.780239,50225,393512,7.83
without_optimization,20000,5000,15000,2,557549,576.100252,50512,396583,7.85
without_optimization,20000,5000,15000,2,108307,595.771661,51098,397355,7.78
without_optimization,20000,5000,15000,2,501886,562.227635,50409,395972,7.86
without_optimization,20000,5000,15000,2,955941,568.460050,50566,397554,7.86
without_optimization,20000,5000,15000,2,122202,560.646627,50468,394073,7.81
without_optimization,20000,5000,15000,2,417294,561.617143,50926,398155,7.82
without_optimization,20000,5000,15000,2,924578,559.581308,50748,396801,7.82
without_optimization,20000,5000,15000,2,112497,560.844249,50919,397126,7.80
without_optimization,20000,15000,5000,2,59904,555.471580,45285,394165,8.70
without_optimization,20000,15000,5000,2,780645,552.575743,45077,392019,8.70
without_optimization,20000,15000,5000,2,439712,560.603476,45537,396127,8.70
without_optimization,20000,15000,5000,2,324027,558.181396,45392,394122,8.68
without_optimization,20000,15000,5000,2,687024,550.742834,45413,393725,8.67
without_optimization,20000,15000,5000,2,170333,556.797622,45310,394794,8.71
without_optimization,20000,15000,5000,2,760400,564.689774,45354,393616,8.68
without_optimization,20000,15000,5000,2,926715,563.280568,45172,392993,8.70
without_optimization,20000,15000,5000,2,209078,552.145330,45426,394268,8.68
without_optimization,20000,15000,5000,2,579610,549.202412,45071,392292,8.70
without_optimization,40000,20000,20000,2,474877,1428.766389,131394,996276,7.58
without_optimization,40000,20000,20000,2,517595,1423.510530,131400,995084,7.57
without_optimization,40000,20000,20000,2,636149,1424.977211,131694,994861,7.55
without_optimization,40000,20000,20000,2,881661,1449.616800,131789,998432,7.58
without_optimization,40000,20000,20000,2,741233,1425.578925,131372,996424,7.58
without_optimization,40000,20000,20000,2,311290,1423.031279,131604,998433,7.59
without_optimization,40000,20000,20000,2,645979,1531.260478,131641,998995,7.59
without_optimization,40000,20000,20000,2,730035,1430.980214,131634,996818,7.57
without_optimization,40000,20000,20000,2,182664,1445.517658,131290,995861,7.59
without_optimization,40000,20000,20000,2,496282,1463.915233,131519,994210,7.56
without_optimization,40000,10000,30000,2,928674,1275.886077,109257,920514,8.43
without_optimization,40000,10000,30000,2,465283,1285.105633,110162,924987,8.40
without_optimization,40000,10000,30000,2,466989,1297.721849,110006,924518,8.40
without_optimization,40000,10000,30000,2,264345,1283.616365,109778,922641,8.40
without_optimization,40000,10000,30000,2,531571,1365.832400,109319,921106,8.43
without_optimization,40000,10000,30000,2,581793,1297.405392,109897,925663,8.42
without_optimization,40000,10000,30000,2,86826,1284.335357,109681,922085,8.41
without_optimization,40000,10000,30000,2,171470,1285.131632,109305,919162,8.41
without_optimization,40000,10000,30000,2,277593,1292.535917,109205,919837,8.42
without_optimization,40000,10000,30000,2,906162,1287.352152,109459,920691,8.41
without_optimization,40000,30000,10000,2,891663,1640.649480,98452,917965,9.32
without_optimization,40000,30000,10000,2,347461,1506.789914,99110,923008,9.31
without_optimization,40000,30000,10000,2,812872,1970.752036,98605,918515,9.32
without_optimization,40000,30000,10000,2,159623,1479.058705,98353,917848,9.33
without_optimization,40000,30000,10000,2,451938,1558.362154,98260,918494,9.35
without_optimization,40000,30000,10000,2,142954,1521.950280,98430,915935,9.31
without_optimization,40000,30000,10000,2,774771,1615.874080,98530,919336,9.33
without_optimization,40000,30000,10000,2,678348,1446.342365,98237,916211,9.33
without_optimization,40000,30000,10000,2,861549,1896.682812,98600,916018,9.29
without_optimization,40000,30000,10000,2,103432,2099.732175,98686,919579,9.32
without_optimization,80000,40000,40000,2,498215,4777.359067,282457,2278493,8.07
without_optimization,80000,40000,40000,2,432439,3771.457673,282801,2275604,8.05
without_optimization,80000,40000,40000,2,431754,3690.700162,282950,2275900,8.04
without_optimization,80000,40000,40000,2,403252,3582.356265,283500,2279558,8.04
without_optimization,80000,40000,40000,2,658558,3528.403615,283267,2283241,8.06
without_optimization,80000,40000,40000,2,330336,3490.672903,283083,2279418,8.05
without_optimization,80000,40000,40000,2,359084,3583.059621,283443,2285876,8.06
without_optimization,80000,40000,40000,2,527088,4090.129831,282880,2280891,8.06
without_optimization,80000,40000,40000,2,135257,4268.409614,283727,2285511,8.06
without_optimization,80000,40000,40000,2,256686,3814.656255,282814,2281215,8.07
without_optimization,80000,20000,60000,2,363706,3116.456207,236687,2125191,8.98
without_optimization,80000,20000,60000,2,498166,2881.591173,236186,2121264,8.98
without_optimization,80000,20000,60000,2,732631,3608.835255,236476,2125860,8.99
without_optimization,80000,20000,60000,2,488354,3007.245106,236314,2124999,8.99
without_optimization,80000,20000,60000,2,11468,3440.127893,236992,2125064,8.97
without_optimization,80000,20000,60000,2,595157,3654.963718,236891,2124006,8.97
without_optimization,80000,20000,60000,2,504598,2831.782906,235327,2117158,9.00
without_optimization,80000,20000,60000,2,68854,2880.271823,235214,2116706,9.00
without_optimization,80000,20000,60000,2,906051,2944.037182,236022,2122875,8.99
without_optimization,80000,20000,60000,2,571622,2903.434554,235956,2120916,8.99
without_optimization,80000,60000,20000,2,5298,2807.340528,212157,2113773,9.96
without_optimization,80000,60000,20000,2,117260,2827.819061,212348,2110846,9.94
without_optimization,80000,60000,20000,2,721107,3979.687970,212454,2114757,9.95
without_optimization,80000,60000,20000,2,809127,4085.118163,211927,2115807,9.98
without_optimization,80000,60000,20000,2,804234,3794.357394,212471,2113795,9.95
without_optimization,80000,60000,20000,2,142659,3610.673607,212437,2117108,9.97
without_optimization,80000,60000,20000,2,172516,2830.003215,212396,2120727,9.98
without_optimization,80000,60000,20000,2,71744,2812.362956,212771,2113897,9.94
without_optimization,80000,60000,20000,2,198603,2893.525138,212073,2116073,9.98
without_optimization,80000,60000,20000,2,216808,3257.219585,212399,2113975,9.95
without_optimization,160000,80000,80000,2,331325,8185.330512,606359,5190399,8.56
without_optimization,160000,80000,80000,2,235289,7325.922909,606487,5181512,8.54
without_optimization,160000,80000,80000,2,188947,7758.091023,606906,5185571,8.54
without_optimization,160000,80000,80000,2,370113,7190.392141,607226,5189032,8.55
without_optimization,160000,80000,80000,2,36611,7121.807301,606197,5183085,8.55
without_optimization,160000,80000,80000,2,617108,8697.472247,606332,5187256,8.56
without_optimization,160000,80000,80000,2,957688,8169.109606,605798,5180157,8.55
without_optimization,160000,80000,80000,2,88566,8895.341657,606461,5182204,8.54
without_optimization,160000,80000,80000,2,103648,8278.667488,606793,5179410,8.54
without_optimization,160000,80000,80000,2,605881,7806.341199,606814,5180528,8.54
without_optimization,160000,40000,120000,2,259616,6383.951521,504828,4836548,9.58
without_optimization,160000,40000,120000,2,435592,6313.062915,504880,4841518,9.59
without_optimization,160000,40000,120000,2,42851,6702.055848,506275,4842953,9.57
without_optimization,160000,40000,120000,2,316516,6399.996863,506437,4845794,9.57
without_optimization,160000,40000,120000,2,759716,6372.501685,504601,4837037,9.59
without_optimization,160000,40000,120000,2,956916,6494.410677,505880,4842541,9.57
without_optimization,160000,40000,120000,2,842644,6575.651844,505536,4839647,9.57
without_optimization,160000,40000,120000,2,974889,6685.743195,505827,4834983,9.56
without_optimization,160000,40000,120000,2,958867,6560.490189,506661,4847149,9.57
without_optimization,160000,40000,120000,2,67987,6668.401157,504808,4838116,9.58
without_optimization,160000,120000,40000,2,64928,6550.510757,454434,4818586,10.60
without_optimization,160000,120000,40000,2,714496,6501.205897,455242,4823788,10.60
without_optimization,160000,120000,40000,2,54280,6786.369696,454165,4820574,10.61
without_optimization,160000,120000,40000,2,233234,6556.680527,455154,4826338,10.60
without_optimization,160000,120000,40000,2,594983,6344.023998,455406,4829456,10.60
without_optimization,160000,120000,40000,2,875098,6491.875402,455102,4825401,10.60
without_optimization,160000,120000,40000,2,538400,6437.439806,454738,4822700,10.61
without_optimization,160000,120000,40000,2,486637,6444.034370,454748,4819102,10.60
without_optimization,160000,120000,40000,2,295141,6482.033485,453693,4809282,10.60
without_optimization,160000,120000,40000,2,285238,6308.229651,454410,4816236,10.60
with_optimization,5000,2500,2500,2,307818,135.849362,11576,77524,6.70
with_optimization,5000,2500,2500,2,499064,130.600851,11499,76328,6.64
with_optimization,5000,2500,2500,2,126575,133.519024,11500,76497,6.65
with_optimization,5000,2500,2500,2,267074,140.695313,11603,77059,6.64
with_optimization,5000,2500,2500,2,553280,132.388662,11400,74873,6.57
with_optimization,5000,2500,2500,2,551124,133.090062,11454,75985,6.63
with_optimization,5000,2500,2500,2,549008,131.636364,11594,77219,6.66
with_optimization,5000,2500,2500,2,808329,133.245150,11597,76502,6.60
with_optimization,5000,2500,2500,2,939670,130.263085,11470,75626,6.59
with_optimization,5000,2500,2500,2,885529,132.418028,11454,76263,6.66
with_optimization,5000,1250,3750,2,387922,113.328780,9288,70192,7.56
with_optimization,5000,1250,3750,2,826866,118.973392,9127,69440,7.61
with_optimization,5000,1250,3750,2,736078,112.886369,9143,69075,7.55
with_optimization,5000,1250,3750,2,508195,114.236753,9075,68372,7.53
with_optimization,5000,1250,3750,2,929203,113.765256,8994,68681,7.64
with_optimization,5000,1250,3750,2,150653,183.668972,9087,68639,7.55
with_optimization,5000,1250,3750,2,873444,121.190622,9150,69031,7.54
with_optimization,5000,1250,3750,2,846182,118.972850,9138,69015,7.55
with_optimization,5000,1250,3750,2,47223,118.825709,9131,68251,7.47
with_optimization,5000,1250,3750,2,771729,120.285888,9250,69989,7.57
with_optimization,5000,3750,1250,2,677031,117.907727,8501,68454,8.05
with_optimization,5000,3750,1250,2,866433,117.631538,8519,68702,8.06
with_optimization,5000,3750,1250,2,875738,123.847737,8708,69667,8.00
with_optimization,5000,3750,1250,2,583561,118.071248,8784,70309,8.00
with_optimization,5000,3750,1250,2,886880,120.623111,8564,68609,8.01
with_optimization,5000,3750,1250,2,658925,119.936390,8447,68178,8.07
with_optimization,5000,3750,1250,2,989969,118.909526,8427,68356,8.11
with_optimization,5000,3750,1250,2,511738,116.252706,8592,69055,8.04
with_optimization,5000,3750,1250,2,871476,126.226282,8456,68321,8.08
with_optimization,5000,3750,1250,2,190943,117.542587,8588,69512,8.09
with_optimization,10000,5000,5000,2,582076,305.972829,25351,181932,7.18
with_optimization,10000,5000,5000,2,968243,296.356835,25257,181614,7.19
with_optimization,10000,5000,5000,2,291573,293.035280,25282,181255,7.17
with_optimization,10000,5000,5000,2,855338,297.040774,25435,182458,7.17
with_optimization,10000,5000,5000,2,212275,301.927041,25344,180570,7.12
with_optimization,10000,5000,5000,2,819844,295.378578,25160,180344,7.17
with_optimization,10000,5000,5000,2,828542,301.876138,25282,180924,7.16
with_optimization,10000,5000,5000,2,177496,295.436280,25231,180200,7.14
with_optimization,10000,5000,5000,2,951142,298.401334,25371,181708,7.16
with_optimization,10000,5000,5000,2,633128,307.343880,25380,181195,7.14
with_optimization,10000,2500,7500,2,694058,265.730414,20159,165435,8.21
with_optimization,10000,2500,7500,2,365204,258.650800,20240,166368,8.22
with_optimization,10000,2500,7500,2,985209,259.945144,20227,165966,8.21
with_optimization,10000,2500,7500,2,334143,255.678306,20181,165384,8.20
with_optimization,10000,2500,7500,2,845444,258.699725,20125,165397,8.22
with_optimization,10000,2500,7500,2,206939,264.467987,19841,162362,8.18
with_optimization,10000,2500,7500,2,667474,263.622154,20232,165528,8.18
with_optimization,10000,2500,7500,2,565209,270.213099,19889,164677,8.28
with_optimization,10000,2500,7500,2,390620,265.306155,20111,164258,8.17
with_optimization,10000,2500,7500,2,665022,269.640297,19957,164779,8.26
with_optimization,10000,7500,2500,2,78510,375.717377,19064,166096,8.71
with_optimization,10000,7500,2500,2,269273,269.079418,18871,164450,8.71
with_optimization,10000,7500,2500,2,139602,265.266656,19017,166381,8.75
with_optimization,10000,7500,2500,2,823124,270.695622,18949,164956,8.71
with_optimization,10000,7500,2500,2,382712,273.065246,19096,165503,8.67
with_optimization,10000,7500,2500,2,488240,273.426551,19177,167768,8.75
with_optimization,10000,7500,2500,2,226295,273.437847,18946,165116,8.72
with_optimization,10000,7500,2500,2,649941,269.745983,18950,165506,8.73
with_optimization,10000,7500,2500,2,782631,265.538538,18742,164182,8.76
with_optimization,10000,7500,2500,2,203155,260.249241,18951,165536,8.73
with_optimization,20000,10000,10000,2,734903,661.156527,55090,424189,7.70
with_optimization,20000,10000,10000,2,820895,675.182625,55528,429434,7.73
with_optimization,20000,10000,10000,2,299076,674.301425,55305,424345,7.67
with_optimization,20000,10000,10000,2,217818,657.631105,55048,423802,7.70
with_optimization,20000,10000,10000,2,373994,669.889293,55078,422370,7.67
with_optimization,20000,10000,10000,2,125068,661.426148,55527,424330,7.64
with_optimization,20000,10000,10000,2,966197,659.358771,55163,424572,7.70
with_optimization,20000,10000,10000,2,185275,658.986967,55270,425787,7.70
with_optimization,20000,10000,10000,2,546935,669.014144,55117,423173,7.68
with_optimization,20000,10000,10000,2,251813,669.077287,55030,424641,7.72
with_optimization,20000,5000,15000,2,798723,583.676301,43886,389697,8.88
with_optimization,20000,5000,15000,2,475126,564.500844,43416,385989,8.89
with_optimization,20000,5000,15000,2,557549,564.779273,43714,389023,8.90
with_optimization,20000,5000,15000,2,108307,591.583684,44238,389776,8.81
with_optimization,20000,5000,15000,2,501886,579.701188,43756,388614,8.88
with_optimization,20000,5000,15000,2,955941,669.535773,43795,390057,8.91
with_optimization,20000,5000,15000,2,122202,591.637636,43625,386519,8.86
with_optimization,20000,5000,15000,2,417294,580.572300,44172,390660,8.84
with_optimization,20000,5000,15000,2,924578,583.535172,43958,389357,8.86
with_optimization,20000,5000,15000,2,112497,605.626266,44143,389686,8.83
with_optimization,20000,15000,5000,2,59904,609.725744,41237,389734,9.45
with_optimization,20000,15000,5000,2,780645,601.989403,41068,387667,9.44
with_optimization,20000,15000,5000,2,439712,687.374138,41482,391717,9.44
with_optimization,20000,15000,5000,2,324027,600.587488,41278,389606,9.44
with_optimization,20000,15000,5000,2,687024,584.933501,41405,389347,9.40
with_optimization,20000,15000,5000,2,170333,584.765614,41312,390408,9.45
with_optimization,20000,15000,5000,2,760400,621.569241,41349,389229,9.41
with_optimization,20000,15000,5000,2,926715,602.245627,41116,388557,9.45
with_optimization,20000,15000,5000,2,209078,616.792714,41323,389796,9.43
with_optimization,20000,15000,5000,2,579610,596.940019,41058,387883,9.45
with_optimization,40000,20000,20000,2,474877,1526.585747,119313,982556,8.24
with_optimization,40000,20000,20000,2,517595,1735.644440,119101,981004,8.24
with_optimization,40000,20000,20000,2,636149,1495.207836,119897,981410,8.19
with_optimization,40000,20000,20000,2,881661,1504.280702,119638,984592,8.23
with_optimization,40000,20000,20000,2,741233,1526.230921,119255,982600,8.24
with_optimization,40000,20000,20000,2,311290,1494.746179,119531,984585,8.24
with_optimization,40000,20000,20000,2,645979,1611.041121,119502,985127,8.24
with_optimization,40000,20000,20000,2,730035,1563.144819,119477,982972,8.23
with_optimization,40000,20000,20000,2,182664,1671.618107,119363,982269,8.23
with_optimization,40000,20000,20000,2,496282,1566.868129,119502,980491,8.20
with_optimization,40000,10000,30000,2,928674,1314.537728,94849,904546,9.54
with_optimization,40000,10000,30000,2,465283,1410.390564,95358,908723,9.53
with_optimization,40000,10000,30000,2,466989,1345.393890,95515,908462,9.51
with_optimization,40000,10000,30000,2,264345,1281.019371,95157,906500,9.53
with_optimization,40000,10000,30000,2,531571,1282.834777,94912,905226,9.54
with_optimization,40000,10000,30000,2,581793,1282.878752,95125,909292,9.56
with_optimization,40000,10000,30000,2,86826,1304.614002,95162,906066,9.52
with_optimization,40000,10000,30000,2,171470,1325.063950,94933,903335,9.52
with_optimization,40000,10000,30000,2,277593,1400.271173,94584,903586,9.55
with_optimization,40000,10000,30000,2,906162,1344.132563,94948,904677,9.53
with_optimization,40000,30000,10000,2,891663,1501.502508,89728,908475,10.12
with_optimization,40000,30000,10000,2,347461,1675.286834,90295,913356,10.12
with_optimization,40000,30000,10000,2,812872,1348.204721,90036,909216,10.10
with_optimization,40000,30000,10000,2,159623,1391.640239,89612,908305,10.14
with_optimization,40000,30000,10000,2,451938,1352.523084,89672,909103,10.14
with_optimization,40000,30000,10000,2,142954,1314.516169,89725,906429,10.10
with_optimization,40000,30000,10000,2,774771,1459.839069,89733,909641,10.14
with_optimization,40000,30000,10000,2,678348,1301.294911,89378,906462,10.14
with_optimization,40000,30000,10000,2,861549,1415.308816,89789,906364,10.09
with_optimization,40000,30000,10000,2,103432,1321.383454,89992,910060,10.11
with_optimization,80000,40000,40000,2,498215,3604.754809,256731,2249197,8.76
with_optimization,80000,40000,40000,2,432439,3409.568088,256878,2246077,8.74
with_optimization,80000,40000,40000,2,431754,3582.646471,257364,2246787,8.73
with_optimization,80000,40000,40000,2,403252,3482.889185,257363,2249709,8.74
with_optimization,80000,40000,40000,2,658558,3466.413428,257193,2253626,8.76
with_optimization,80000,40000,40000,2,330336,3364.546341,257294,2250060,8.75
with_optimization,80000,40000,40000,2,359084,3364.417698,257633,2256355,8.76
with_optimization,80000,40000,40000,2,527088,3318.263819,257232,2251574,8.75
with_optimization,80000,40000,40000,2,135257,3434.952604,257698,2255773,8.75
with_optimization,80000,40000,40000,2,256686,3538.890200,256909,2251743,8.76
with_optimization,80000,20000,60000,2,363706,2985.210105,205091,2090263,10.19
with_optimization,80000,20000,60000,2,498166,3017.056513,205245,2087052,10.17
with_optimization,80000,20000,60000,2,732631,3190.640084,205213,2091350,10.19
with_optimization,80000,20000,60000,2,488354,3028.384342,205019,2090312,10.20
